訟之井,大壯肥㹀，惠我諸舅。內外和睦，不憂飢渴。
訟之革,黃帝建元，文德在身。祿若陽春，封為魯君。
訟之鼎,虎聚摩牙，人待豚豬。往必傷亡，宜利止居。
訟之震,天地配享，六位光明。陰陽順序，以成和平。
訟之艮,猿墜高木，不踒手足。保我金玉，還歸其室。
訟之漸,營室紫宮，堅不可攻。明神建德，君受大福。
訟之歸妹,孤翁寡婦，獨宿悲苦。目張耳鳴，無與笑語。
訟之豐,低頭窺視，有所畏避。行者不利，酒酸魚敗，眾莫貪嗜。
訟之旅,載金販狗，利棄我走。藏匿淵底，悔折為咎。
訟之巽,行觸大忌，與司命牾，執囚束縛，拘制於吏。
訟之兌,執玉歡喜，佩之解攣。危詳及安，使我無患。
訟之渙,機杼紛擾，女功不成。長妹許嫁，衣無襦袴。聞禍不成，凶惡消去。
訟之節,金人鐵距，火燒左右。雖懼不恐，獨得全處。
訟之中孚,謝恩拜德，東歸吾國。舞蹈欣躍，歡樂受福。
訟之小過,青牛白咽，呼我俱田，歷山之下，可以多耕。歲樂時節，民人安寧。
訟之既濟,白雉群雊，慕德朝貢。湛露之恩，使我得懽。
訟之未濟,避患東西，反入禍門。糟糠不足，憂愁我心。
師之師,烏鳴呼子，哺以酒脯。高樓之處，子來歸母。穡人成功，年歲大有，妬婦無子。
